rating,title,author,type,asin,tags,review
0,ngo duy trung,John Connolly,Book,340771224,,i still haven't had time to read this one...
0,Đỗ Thị Kim Xuân,Steve Berry,Book,340899263,,need to find time to read this book
3,The Last Templar,Raymond Khoury,Book,752880705,,
5,The Traveller,John Twelve Hawks,Book,059305430X,,
4,Crisis Four,Andy Mcnab,Book,345428080,,
5,Prey,Michael Crichton,Book,7154534,,
3,The Broker (Paperback),John Grisham,Book,440241588,book johngrisham,"good book, but is slow in the middle"
3,Without Blood (Paperback),Alessandro Baricco,Book,1841955744,,
5,State of Fear (Paperback),Michael Crichton,Book,61015733,,
4,The Rule of Four (Paperback),Ian Caldwell,Book,99451956,book bestseller,
4,Deception Point (Paperback),Dan Brown,Book,671027387,book danbrown bestseller,
5,Digital Fortress : A Thriller (Mass Market Paperback),Dan Brown,Book,312995423,book danbrown bestseller,
5,Angels & Demons (Mass Market Paperback),Dan Brown,Book,671027360,book danbrown bestseller,
4,The Da Vinci Code (Hardcover),Dan Brown,   Book   ,385504209,book movie danbrown bestseller davinci,
